SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head b63cab47d4b0861c1f2f94d77c45229b70de35e3
unit mid_cover_11_51_205_4
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 51 205/4
t_domain 3/5 1276053007/410000000
cache_entries 259
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 56 112862187553/52480000000 1423653007/656000000 upper [-1.8158372833632752359238273541115165944537266753731760035993924769182719099623491e-32 +/- 2.24e-112]
trow 57 1423653007/656000000 114922293567/52480000000 upper [-5.7499789331186941287019757695395057537096746300543506369038930628716783179622902e-33 +/- 4.13e-113]
trow 58 114922293567/52480000000 1414053007/640000000 upper [-1.7593345484518092144790180701465394403810211852857663948089512189034753066358620e-33 +/- 4.18e-113]
trow 59 1414053007/640000000 116982399581/52480000000 upper [-5.1453441046131684578079373707101635030928723408607306345101843421251626294541856e-34 +/- 4.90e-114]
trow 60 116982399581/52480000000 29503113147/13120000000 upper [-1.4104280839308219579188888809539309117208315364913628583828201335461774564398410e-34 +/- 6.11e-115]
trow 61 29503113147/13120000000 23808501119/10496000000 upper [-3.4764109546634860616582842325622017869688337251870225840565352671190871069930623e-35 +/- 3.84e-115]
trow 62 23808501119/10496000000 60036279301/26240000000 upper [-6.8576982578484166264002440630281452204206897154312443232719354672260815110265205e-36 +/- 1.07e-116]
trow 63 60036279301/26240000000 121102611609/52480000000 upper [-5.1897440169871306282507079552110063029075363529525642486927700767761572773943280e-37 +/- 2.05e-117]
trow 64 121102611609/52480000000 9729411049/4198400000 upper [-2.8271150653031854328499017756711339448965301190840960943533752287290699777597326e-35 +/- 3.34e-115]
trow 65 9729411049/4198400000 15266583077/6560000000 upper [-1.6426393909852587359467504328506687584539655217578272073631203439367414259608330e-35 +/- 1.41e-115]
