SCALED BULK SIGN ROW UNIT82 TERMINAL ORDER30 SLICE
python 3.12.6
python_flint 0.9.0
arb_bits 220
git_head 5af9e9c8b4f6b62b967552ffa01920fddf9194fc
unit slice3
config CWIN 3/2 beta_order 30 t_order 35 min_dt 1/100000 prec 220
beta_domain 1103/16 69
t_domain 3/5 717566321/230000000
dependency scripts/run_surface_g2_unit82_terminal_slice.py sha256 0bb37f799e1547ee1ef5964e67aea0bf2ad62546f031f7e5a02341c5c4a40cbe
dependency scripts/run_surface_scaled_bulk_cwin3p2_unit82_rescue_order30_slice.py sha256 823936a50539062514b4f5901add0f05d0bc3b3e35c4a1ec6c19fadab19c57b9
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
trow 69 127479045039/58880000000 800366321/368000000 upper [-5.7551625948433297899964082097215066061641529329987614831126254213322012113551987e-41 +/- 4.40e-121]
trow 70 800366321/368000000 5592964247/2560000000 upper [-2.8807705843679027564655999289326081370250598644772082390922049535806865353720753e-41 +/- 2.67e-121]
trow 71 5592964247/2560000000 64608872001/29440000000 upper [-1.4377527567796298142734223701890277480456347692381709907044282840410170237046573e-41 +/- 4.87e-121]
trow 72 64608872001/29440000000 129797310323/58880000000 upper [-7.1546135718027246504637060177991890893090532313634732291970756060869940362909236e-42 +/- 4.67e-122]
trow 73 129797310323/58880000000 32594219161/14720000000 upper [-3.5499038648330367787248344204577528240978417403541926574555209815324460709587164e-42 +/- 3.51e-122]
trow 74 32594219161/14720000000 26191288593/11776000000 upper [-1.7562139727458318920088977566974018286213922863497248102536751630565609820402512e-42 +/- 4.15e-122]
trow 75 26191288593/11776000000 65768004643/29440000000 upper [-8.6630473045875588269134295159666130490134394070241671532155735086752841020496794e-43 +/- 2.80e-123]
trow 76 65768004643/29440000000 132115575607/58880000000 upper [-4.2608708477840793594527460323006566154536444482297093827454384849227030412150877e-43 +/- 1.99e-123]
trow 77 132115575607/58880000000 16586892741/7360000000 upper [-2.0895967357932400544099006959687339756780672397704037175123613710961910895016152e-43 +/- 4.63e-123]
trow 78 16586892741/7360000000 133274708249/58880000000 upper [-1.0217979319323384424215913489257526132786606275016431798206507823925410379118339e-43 +/- 4.75e-123]
