SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head 2e3943f8c587a9e204a18d9ab4dcde2ebf9710f9
unit mid_cover_25_109_2_219_4
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 109/2 219/4
t_domain 3/5 2273362671/730000000
cache_entries 265
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 56 48887890749/23360000000 197386925667/93440000000 upper [-5.0928021587075938482989455930451347398604188172313247743775400830827530841222176e-33 +/- 1.61e-113]
trow 57 197386925667/93440000000 99611144169/46720000000 upper [-1.4281130891527374355313744706367739674461446624591818783315023267550928353506723e-33 +/- 4.11e-113]
trow 58 99611144169/46720000000 201057651009/93440000000 upper [-3.7149465993376658668857793745322109048171520841218512831591252697562980496572056e-34 +/- 1.86e-114]
trow 59 201057651009/93440000000 2536162671/1168000000 upper [-8.4840300050909098731425703243310872185919442605201567236554566870257419011305981e-35 +/- 1.13e-115]
trow 60 2536162671/1168000000 204728376351/93440000000 upper [-1.4215268152877234127433158370960097522205342068914626853167837418115466842158104e-35 +/- 8.26e-117]
trow 61 204728376351/93440000000 411292115373/186880000000 upper [-2.1877846674369046538109570742481219834768354402767648231411003886137871130508126e-34 +/- 3.32e-114]
trow 62 411292115373/186880000000 103281869511/46720000000 upper [-1.2574550164273545026443667365851463892218251289135990767545574619844215407248630e-34 +/- 4.87e-114]
trow 63 103281869511/46720000000 82992568143/37376000000 upper [-7.2101614160176625819392047521288113117159999698414684457757766805815844491347754e-35 +/- 3.97e-115]
trow 64 82992568143/37376000000 208399101693/93440000000 upper [-4.1244223521269900103739553884072020750675996811344899353252295833626278511315007e-35 +/- 3.62e-115]
trow 65 208399101693/93440000000 418633566057/186880000000 upper [-2.3536811358364516006436082311575196449357243038176261632247233309362419842335771e-35 +/- 8.63e-116]
trow 66 418633566057/186880000000 52558616091/23360000000 upper [-1.3399846546479287687046746432410871051417558505072082279735176405973694766742766e-35 +/- 1.64e-115]
trow 67 52558616091/23360000000 422304291399/186880000000 upper [-7.6106261775701257435812206499340680690403480031075479624276762749608709649024009e-36 +/- 5.69e-117]
