SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_63_63p25_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 63 253/4
t_domain 3/5 7888229531/2530000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 56 1286810363871/647680000000 646590296701/323840000000 upper [-2.5554824696870117749440191055134271770872866265881861657307953271396725390289599e-33 +/- 3.42e-113]
trow 57 646590296701/323840000000 118140983903/58880000000 upper [-1.4221825385254884460460905486332361501622851361827367631128212076803879974524712e-33 +/- 2.22e-113]
trow 58 118140983903/58880000000 81620065779/40480000000 upper [-7.8923556757760479434652721730005399334296771570388091446627284808007128589188148e-34 +/- 6.27e-115]
trow 59 81620065779/40480000000 262458256399/129536000000 upper [-4.3674549946556650855210912610789468334836250064302271698135038896473293965720825e-34 +/- 2.49e-114]
trow 60 262458256399/129536000000 659330755763/323840000000 upper [-2.4100249031673771163652346923473250122696624530418538440268968785524065722587138e-34 +/- 1.24e-114]
trow 61 659330755763/323840000000 1325031741057/647680000000 upper [-1.3261326999213189719651934872875598991440913406720469603876865345261936645627882e-34 +/- 2.36e-114]
trow 62 1325031741057/647680000000 332850492647/161920000000 upper [-7.2765554088443651222552107546025855594587248564996357013109842719169834133968642e-35 +/- 1.86e-115]
trow 63 332850492647/161920000000 1337772200119/647680000000 upper [-3.9814303936597118665721165227776793725436334768471345760829542025730058766518998e-35 +/- 1.93e-115]
trow 64 1337772200119/647680000000 26882848593/12953600000 upper [-2.1723388145763792751727059100775596467206183710040380021520206313424923498915559e-35 +/- 6.91e-116]
trow 65 26882848593/12953600000 1350512659181/647680000000 upper [-1.1819325299112148885994821103495653397698795418014272111612094033581862445229818e-35 +/- 8.76e-116]
trow 66 1350512659181/647680000000 169610361089/80960000000 upper [-6.4126146462379292037875930406027887081519810604176404829686289747133945079618211e-36 +/- 1.63e-116]
trow 67 169610361089/80960000000 1363253118243/647680000000 upper [-3.4694117168435609169648314205979378285128114662650481534625836043995487993478978e-36 +/- 2.68e-116]
trow 68 1363253118243/647680000000 62255606717/29440000000 upper [-1.8717837577474855270816102111748321707620008574612862225753750997541484339395054e-36 +/- 1.23e-116]
trow 69 62255606717/29440000000 275198715461/129536000000 upper [-1.0070139726890250371432601324295560734782204023943280599234962367753452243911957e-36 +/- 1.21e-116]
trow 70 275198715461/129536000000 345590951709/161920000000 upper [-5.4025169929608209629660117287879145165323723859907455878870490596615560106167386e-37 +/- 2.97e-117]
trow 71 345590951709/161920000000 1388734036367/647680000000 upper [-2.8902678301916870087546510864625542092311093123998923764115647987712547578323554e-37 +/- 9.07e-119]
trow 72 1388734036367/647680000000 697552132949/323840000000 upper [-1.5419231394607559507095131428161228513449162693263330757847656763391234178424585e-37 +/- 3.24e-117]
trow 73 697552132949/323840000000 1401474495429/647680000000 upper [-8.2029574934980480237549849168384258273659014428968201260841214252774465176831510e-38 +/- 3.79e-118]
trow 74 1401474495429/647680000000 8799029531/4048000000 upper [-4.3517302590254532952479960884463743539829566248625727148079822590090881386622667e-38 +/- 1.77e-118]
trow 75 8799029531/4048000000 61487606717/28160000000 upper [-2.3021727086179692970185363033408751949139773252016499046217760480965741385957629e-38 +/- 2.83e-118]
trow 76 61487606717/28160000000 710292592011/323840000000 upper [-1.2145037331417275483551605708897647580674364517639622456024548351368985528572454e-38 +/- 4.02e-118]
trow 77 710292592011/323840000000 1426955413553/647680000000 upper [-6.3891839172084871614431718454714590761254139838841402262153043487651415019932494e-39 +/- 2.75e-119]
trow 78 1426955413553/647680000000 358331410771/161920000000 upper [-3.3517993520054978092653218057524824158422259676855013718390029479140675931732248e-39 +/- 4.94e-119]
trow 79 358331410771/161920000000 26176288593/11776000000 upper [-1.7534654182976099433491897376081270042375892030219270432428849101512651663520186e-39 +/- 2.07e-119]
trow 80 26176288593/11776000000 723033051073/323840000000 upper [-9.1475200083494439928416792580948637073838480586828707513570644769292322879151537e-40 +/- 2.34e-120]
trow 81 723033051073/323840000000 1452436331677/647680000000 upper [-4.7587895812824716882644895814343807698930877281404615384622596529109742855988672e-40 +/- 4.61e-120]
trow 82 1452436331677/647680000000 182350820151/80960000000 upper [-2.4687529964895852319763534013769657628643503352121887684718820074642187649022049e-40 +/- 3.43e-120]
trow 83 182350820151/80960000000 1465176790739/647680000000 upper [-1.2771640221503765078779428897941015947599530192574916956679646243756213303188161e-40 +/- 3.29e-120]
trow 84 1465176790739/647680000000 147154702027/64768000000 upper [-6.5887613049666350476466332530229219076671373411880037730849648315010572362479326e-41 +/- 3.52e-121]
trow 85 147154702027/64768000000 1477917249801/647680000000 upper [-3.3896046456906884945215636190418219390084577744950774034330021271858382987435861e-41 +/- 1.06e-121]
trow 86 1477917249801/647680000000 371071869833/161920000000 upper [-1.7389318038909777595471461964698101209535313488823399721947896075083167267314514e-41 +/- 4.96e-121]
trow 87 371071869833/161920000000 1490657708863/647680000000 upper [-8.8961939973651877775908111365109955945652194520228120370197878884329937860248848e-42 +/- 3.26e-122]
trow 88 1490657708863/647680000000 748513969197/323840000000 upper [-4.5385176820394812141574525924574959139432141352008303599226027053362092599540701e-42 +/- 3.18e-123]
trow 89 748513969197/323840000000 60135926717/25907200000 upper [-2.3089350724328680200229941234698943991227323298764156423337813707252874612632119e-42 +/- 9.56e-123]
trow 90 60135926717/25907200000 8578229531/3680000000 upper [-1.1713779198813199496721747284693739589622770395955245531591199782881530342485852e-42 +/- 1.13e-123]
trow 91 8578229531/3680000000 1516138626987/647680000000 upper [-5.9261085544957454508345904680001038135458175248853218126749897668841908242636857e-43 +/- 2.03e-123]
trow 92 1516138626987/647680000000 761254428259/323840000000 upper [-2.9897092965631380533650092380496959294081466400304929342773583725981931069834158e-43 +/- 1.56e-123]
trow 93 761254428259/323840000000 1528879086049/647680000000 upper [-1.5040924927877643773832761029618269833173005395037844873850138617684777391803670e-43 +/- 4.99e-124]
