SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_62p75_63_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 251/4 63
t_domain 3/5 654734467/210000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 57 53668147157/26880000000 107865028781/53760000000 upper [-1.8368986432519387296590530121766949393055318893918135369539135377467871659635867e-33 +/- 4.46e-113]
trow 58 107865028781/53760000000 2258203401/1120000000 upper [-1.0218889451394634461013146422842272292294985949988322443093825351796083376760515e-33 +/- 1.26e-113]
trow 59 2258203401/1120000000 21784499543/10752000000 upper [-5.6688842111494339654302580382344946817931148556174968791607967734356837933531922e-34 +/- 4.12e-114]
trow 60 21784499543/10752000000 54725616091/26880000000 upper [-3.1359414728737646149998808589551073781975252874998431642876695599502187842318303e-34 +/- 7.78e-115]
trow 61 54725616091/26880000000 5237141269/2560000000 upper [-1.7298795115178049330623473185048833273415059837489926564776845691946555499631123e-34 +/- 3.96e-114]
trow 62 5237141269/2560000000 27627175279/13440000000 upper [-9.5157299356860469235479236599017842255223889209951660038944857133923091735730996e-35 +/- 4.22e-115]
trow 63 27627175279/13440000000 111037435583/53760000000 upper [-5.2197326508501171882381139029767734169932290259852975732482103627019127969772237e-35 +/- 5.20e-116]
trow 64 111037435583/53760000000 743774467/358400000 upper [-2.8551901526260423020514049036427317408801479207134588233066343507810657842925127e-35 +/- 3.03e-115]
trow 65 743774467/358400000 112094904517/53760000000 upper [-1.5574116515125995316871186938727527981458194480403802842164115065855004495307773e-35 +/- 3.73e-115]
trow 66 112094904517/53760000000 14077954873/6720000000 upper [-8.4713838337149591358142579022573717947953481330674463449567510535101193849444053e-36 +/- 3.95e-116]
