SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head 2e3943f8c587a9e204a18d9ab4dcde2ebf9710f9
unit mid_cover_26_219_4_55
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 219/4 55
t_domain 3/5 342575197/110000000
cache_entries 267
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 57 2704026379/1280000000 15010432683/7040000000 upper [-9.8090327073578845946651272881135163636660972851085254084851474665134455246316652e-34 +/- 1.92e-114]
trow 58 15010432683/7040000000 30297440563/14080000000 upper [-2.4521646552251880037008513874436491585602641367066517987427168180431726988471742e-34 +/- 2.94e-114]
trow 59 30297440563/14080000000 382175197/176000000 upper [-5.1746169119006078514195094852605855383252480404602885861969982831540206995854681e-35 +/- 2.56e-115]
trow 60 382175197/176000000 30850590957/14080000000 upper [-6.5899544489479342190041925729088113479130102534061954362867444580738317814910942e-36 +/- 2.42e-116]
trow 61 30850590957/14080000000 61977757111/28160000000 upper [-1.6095186568579355189778373211104200576370545547479206283899552167725791410231907e-34 +/- 1.17e-115]
trow 62 61977757111/28160000000 15563583077/7040000000 upper [-9.2261933333833647254009222870648017518314918135849010795623218089221084475804907e-35 +/- 2.66e-115]
trow 63 15563583077/7040000000 1136925591/512000000 upper [-5.2760502848503951456152898487928791219505302507779566679573493114518102785514887e-35 +/- 4.39e-115]
trow 64 1136925591/512000000 31403741351/14080000000 upper [-3.0099262043143153257256667792767575561482024808397304515632164756624299203347390e-35 +/- 4.31e-115]
trow 65 31403741351/14080000000 63084057899/28160000000 upper [-1.7130271355636607698462025344792864395278065743374160334719926511037040526340674e-35 +/- 4.83e-115]
trow 66 63084057899/28160000000 7920079137/3520000000 upper [-9.7260169122703997429771195516076141558930083460648241295018978001246241542995938e-36 +/- 2.75e-116]
trow 67 7920079137/3520000000 63637208293/28160000000 upper [-5.5089503433660163204938206711701246063252203459120023498106253511829171288950533e-36 +/- 5.46e-117]
trow 68 63637208293/28160000000 6391378349/2816000000 upper [-3.1129137438051741990800326740480761015307235885858664480540879486777883198765069e-36 +/- 2.66e-116]
trow 69 6391378349/2816000000 64190358687/28160000000 upper [-1.7548108031271787013929971869281692455401194233775658435129883188503120291933457e-36 +/- 2.77e-116]
trow 70 64190358687/28160000000 16116733471/7040000000 upper [-9.8686855364208262647518716907284143484918194723630163870371562473052848973504938e-37 +/- 7.04e-118]
trow 71 16116733471/7040000000 64743509081/28160000000 upper [-5.5367499823085879779357869390314250713822700182974782004716980887459136422724965e-37 +/- 2.53e-117]
trow 72 64743509081/28160000000 32510042139/14080000000 upper [-3.0989718307501965451402996662853901641893829885726997232183057171177626374824194e-37 +/- 3.96e-117]
trow 73 32510042139/14080000000 2611866379/1126400000 upper [-1.7304087819650719762593135661226616359669973278223828401777560423257048403741375e-37 +/- 1.55e-118]
trow 74 2611866379/1126400000 372575197/160000000 upper [-9.6393688639636903176952573367039889045778728254842736095469072857808194366358121e-38 +/- 2.84e-118]
trow 75 372575197/160000000 65849809869/28160000000 upper [-5.3569545104935953422550515504498225003334238787315032937623037236627238981630444e-38 +/- 2.66e-118]
trow 76 65849809869/28160000000 33063192533/14080000000 upper [-2.9700067367870923903868706977438454118648161784762394702425880630117249020593737e-38 +/- 3.86e-118]
trow 77 33063192533/14080000000 66402960263/28160000000 upper [-1.6427355086074085834494149560535919005166088531569836348342574526299675802086227e-38 +/- 3.09e-118]
trow 78 66402960263/28160000000 3333976773/1408000000 upper [-9.0646052648416563315546166201672854749875257967222921818304273425989163576408243e-39 +/- 3.66e-119]
trow 79 3333976773/1408000000 66956110657/28160000000 upper [-4.9900198995560581072384080439125804508144964862110437498740836548635243098284382e-39 +/- 9.32e-120]
trow 80 66956110657/28160000000 33616342927/14080000000 upper [-2.7404885950071918463927808135600525591856634790516407189040663212966768476068245e-39 +/- 1.91e-119]
trow 81 33616342927/14080000000 67509261051/28160000000 upper [-1.5015040484915657290893339773698375897822083501475298649400232886171929548780747e-39 +/- 2.15e-119]
trow 82 67509261051/28160000000 8473229531/3520000000 upper [-8.2072607025257279813781457533482997832748280145918728199422230021912439566291259e-40 +/- 3.27e-120]
trow 83 8473229531/3520000000 13612482289/5632000000 upper [-4.4755200310422213573923690373400790148010618246335220179035247542677804567512773e-40 +/- 2.22e-121]
trow 84 13612482289/5632000000 34169493321/14080000000 upper [-2.4347948908414701644669877531245765781304851776849646859300218600740107552079877e-40 +/- 1.31e-120]
trow 85 34169493321/14080000000 6237778349/2560000000 upper [-1.3214652465831548966271796939197552669503979575668783841766053286075000923235337e-40 +/- 4.01e-120]
trow 86 6237778349/2560000000 17223034259/7040000000 upper [-7.1552281924083433375515892331899027711041383743725379753805732491725894767307889e-41 +/- 2.22e-121]
trow 87 17223034259/7040000000 69168712233/28160000000 upper [-3.8651447568406654813551766756047435019688194581279049469812170312340452582029650e-41 +/- 1.06e-121]
trow 88 69168712233/28160000000 6944528743/2816000000 upper [-2.0829683405539649167281281354079592063108367731641171838612056280142282950139159e-41 +/- 3.54e-121]
trow 89 6944528743/2816000000 69721862627/28160000000 upper [-1.1198871300132444341292470184376220096211256987928248016150137737754337520666331e-41 +/- 3.08e-121]
trow 90 69721862627/28160000000 1093725591/440000000 upper [-6.0067627101156449294648931482615312274110946104485622591682952057257586425244729e-42 +/- 1.65e-123]
trow 91 1093725591/440000000 70275013021/28160000000 upper [-3.2142593604629857933934298595087901986984539695337273399834942106111536174971004e-42 +/- 3.86e-122]
trow 92 70275013021/28160000000 35275794109/14080000000 upper [-1.7159162421797784313176957417758840556415282996673399193734508976017892739414289e-42 +/- 3.96e-122]
trow 93 35275794109/14080000000 14165632683/5632000000 upper [-9.1387206871679558677414018217221338978906113263062917421334284167472374023404760e-43 +/- 4.26e-123]
trow 94 14165632683/5632000000 17776184653/7040000000 upper [-4.8556629287021390900175711877384914030389457714945648152685156582599665149609019e-43 +/- 3.21e-123]
trow 95 17776184653/7040000000 71381313809/28160000000 upper [-2.5738607497963015481562715986247156518895097359940587110279116179251222955812195e-43 +/- 1.83e-123]
trow 96 71381313809/28160000000 3257176773/1280000000 upper [-1.3611138403379080012889820226233737161463023236802998823748487999317452655942376e-43 +/- 5.58e-124]
trow 97 3257176773/1280000000 71934464203/28160000000 upper [-7.1808546824097436081726109094781436955980620121245540621217634458345364578645329e-44 +/- 2.57e-124]
trow 98 71934464203/28160000000 361055197/140800000 upper [-3.7794568813688130024738375946464241389581468455810398483215255267723373674106733e-44 +/- 4.58e-124]
trow 99 361055197/140800000 72487614597/28160000000 upper [-1.9845105489664803321697570834081321038209391978982048946578536858208687091863480e-44 +/- 2.93e-124]
trow 100 72487614597/28160000000 36382094897/14080000000 upper [-1.0395545070004277816893691251437548485404599005694254863522497293394218386621340e-44 +/- 1.47e-124]
trow 101 36382094897/14080000000 73040764991/28160000000 upper [-5.4326218804773451351432576059757454066779713443088563612741331709484580533381797e-45 +/- 1.54e-125]
trow 102 73040764991/28160000000 18329335047/7040000000 upper [-2.8323030593662959213042624185624252109828108249947342448794662119263627938693854e-45 +/- 6.90e-126]
trow 103 18329335047/7040000000 14718783077/5632000000 upper [-1.4731135477062930986784383111197904743586213251984833826133331932353266162168461e-45 +/- 7.61e-126]
trow 104 14718783077/5632000000 36935245291/14080000000 upper [-7.6435924218090550966610229882238572523751312150881561133977558656462959719947425e-46 +/- 2.59e-126]
trow 105 36935245291/14080000000 74147065779/28160000000 upper [-3.9565984728164214461474235285619470439696840802052432302911767463522235855052346e-46 +/- 4.76e-126]
trow 106 74147065779/28160000000 4651477561/1760000000 upper [-2.0431854977791186533391501251951732474523229422837364334358031755149976683075423e-46 +/- 3.54e-126]
trow 107 4651477561/1760000000 6790928743/2560000000 upper [-1.0525748663514504784292621426547806731191588339881838128071828273590775274659557e-46 +/- 4.54e-127]
trow 108 6790928743/2560000000 7497679137/2816000000 upper [-5.4094784125163880911922673071236066557172235720493083850109831537497954130902017e-47 +/- 2.55e-127]
trow 109 7497679137/2816000000 75253366567/28160000000 upper [-2.7734006586205746234518498095906922410165781869380789414298371670806205888639422e-47 +/- 2.76e-127]
trow 110 75253366567/28160000000 18882485441/7040000000 upper [-1.4184761813560114795722959769240658397372363440168801353964591777298793809959703e-47 +/- 4.70e-127]
trow 111 18882485441/7040000000 75806516961/28160000000 upper [-7.2373713044503997472903146067017524891410467010614270733745767105937158178488938e-48 +/- 1.90e-128]
trow 112 75806516961/28160000000 38041546079/14080000000 upper [-3.6837142963796626251131102353990175160122576169771581511055702451455739486686797e-48 +/- 1.26e-128]
trow 113 38041546079/14080000000 15271933471/5632000000 upper [-1.8703975266608478846794648141991127307365537358414007945291345903089057101848433e-48 +/- 4.74e-128]
trow 114 15271933471/5632000000 9579530319/3520000000 upper [-9.4737329796860740507554865890840002074649521224205846355378705872094848290418400e-49 +/- 3.51e-129]
trow 115 9579530319/3520000000 76912817749/28160000000 upper [-4.7867754576278987122993730145549428574800005161538242101360657462591307514068568e-49 +/- 4.99e-129]
trow 116 76912817749/28160000000 38594696473/14080000000 upper [-2.4126616003445696106001059917894022311734008036524429516263871478785908728057975e-49 +/- 2.25e-129]
trow 117 38594696473/14080000000 77465968143/28160000000 upper [-1.2130424429248852436156712856346145562401045379444193286289852781258043791477639e-49 +/- 4.02e-129]
trow 118 77465968143/28160000000 353375197/128000000 upper [-6.0838244290146681807255984894138247455974680439906862536048097078159781041826942e-50 +/- 3.53e-130]
trow 119 353375197/128000000 78019118537/28160000000 upper [-3.0436372335558150311066804385904565341804982634057884402283407578178281503968461e-50 +/- 1.53e-130]
trow 120 78019118537/28160000000 39147846867/14080000000 upper [-1.5188630419787945682373831807823659413253810388289930261235303755567548574328954e-50 +/- 5.69e-131]
trow 121 39147846867/14080000000 78572268931/28160000000 upper [-7.5604442181825637146139223257508980690054462145860349893578494218058585952281032e-51 +/- 2.40e-131]
trow 122 78572268931/28160000000 2464026379/880000000 upper [-3.7538063160019409745340709505956047069663995430904550684677568838669007725301120e-51 +/- 3.95e-131]
trow 123 2464026379/880000000 3165016773/1126400000 upper [-1.8590221396606685128573963074807697568426479446917295473092051963407127685810699e-51 +/- 4.27e-131]
trow 124 3165016773/1126400000 39700997261/14080000000 upper [-9.1828393194743908077745735270178487120490439831301772991509318842237009128455395e-52 +/- 2.56e-132]
trow 125 39700997261/14080000000 79678569719/28160000000 upper [-4.5241814391783454045490686885656043836256920148370694437320861121639328813778781e-52 +/- 4.89e-132]
trow 126 79678569719/28160000000 19988786229/7040000000 upper [-2.2231238809017593280604572102550003314363850534199555299663465123239437914761611e-52 +/- 2.69e-132]
trow 127 19988786229/7040000000 80231720113/28160000000 upper [-1.0895247483851069980263475271012443299246172084364529387976399887261687286769221e-52 +/- 4.68e-132]
trow 128 80231720113/28160000000 8050829531/2816000000 upper [-5.3253539741037893841093281512201995242448045537127823435795568863857041580838740e-53 +/- 8.65e-134]
trow 129 8050829531/2816000000 7344079137/2560000000 upper [-2.5958813041632531305321782204751646411058938345715104308484559242429424204591029e-53 +/- 1.84e-133]
trow 130 7344079137/2560000000 10132680713/3520000000 upper [-1.2619205140775795120683593185992802083450927938770402859754160338322778052223729e-53 +/- 9.27e-134]
trow 131 10132680713/3520000000 81338020901/28160000000 upper [-6.1175056488017512752024883886574863765910333253137341611504533396870856692071902e-54 +/- 1.65e-134]
trow 132 81338020901/28160000000 40807298049/14080000000 upper [-2.9572961224119577951350758483871932367739001860506554389385320797012909285325884e-54 +/- 9.27e-135]
trow 133 40807298049/14080000000 16378234259/5632000000 upper [-1.4255230232738119092875140812825937563255196831224592653651853027047598187687622e-54 +/- 1.24e-134]
trow 134 16378234259/5632000000 20541936623/7040000000 upper [-6.8515893343376596210207989392890387798483467853403733044719195445281182231489567e-55 +/- 2.77e-135]
trow 135 20541936623/7040000000 82444321689/28160000000 upper [-3.2833848934994045380096934702786825623534897700698168003578537174595767631782404e-55 +/- 2.60e-135]
trow 136 82444321689/28160000000 41360448443/14080000000 upper [-1.5686900207064800930029338101108053600563104273219624631100782157292124293345148e-55 +/- 2.21e-135]
trow 137 41360448443/14080000000 82997472083/28160000000 upper [-7.4714070323388061365296485005908780887440153158489456137029002491333289641456181e-56 +/- 1.25e-136]
trow 138 82997472083/28160000000 1040925591/352000000 upper [-3.5470859294705210367332909349241294057929108372910751630983326933097983151998988e-56 +/- 2.20e-136]
trow 139 1040925591/352000000 83550622477/28160000000 upper [-1.6783361816099886542518894506086196613495645966871785518880631773884291268568502e-56 +/- 8.41e-137]
trow 140 83550622477/28160000000 3810327167/1280000000 upper [-7.9125906346173741682574869448874606941299545993038812329915807770708317488401955e-57 +/- 7.88e-138]
