PROVENANCE git_head 8b4a17c0681601d0d433ed769d23ce8daa8269a9
PROVENANCE python 3.12.6
PROVENANCE python_flint 0.9.0
PROVENANCE arb_bits 140
DEPENDENCY scripts/certify_right_edge_beta_taylor_cached_extension.py 54b7f122f62d60c0a7a6f2f875708ea5be9161df1939a1db815910d62a02495b
DEPENDENCY scripts/certify_right_edge_beta_taylor_cached_design.py 205a83c5487cc936a2f91ce6551ca2f44fa78f983beb21b0d572e95b6549c9b4
DEPENDENCY scripts/certify_right_edge_beta_taylor_arb.py d614f97a120b13b8cb02b00f6906fd76780c6c329062cdc71fec499083137cdc
DEPENDENCY scripts/certify_bulk_beta_taylor_arb.py f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
CONFIG unit 20_22p62 beta 20/1 1131/50 step 1/100 splice 1/1000 beta_order 12 d_order 9 CWIN 3/2
beta-box [21.95,21.96]: normalized=1 regular=21
beta-box [21.96,21.97]: normalized=1 regular=21
beta-box [21.97,21.98]: normalized=1 regular=21
beta-box [21.98,21.99]: normalized=1 regular=21
beta-box [21.99,22.0]: normalized=1 regular=21
beta-box [22.0,22.01]: normalized=1 regular=21
beta-box [22.01,22.02]: normalized=1 regular=21
beta-box [22.02,22.03]: normalized=1 regular=21
beta-box [22.03,22.04]: normalized=1 regular=21
beta-box [22.04,22.05]: normalized=1 regular=21
beta-box [22.05,22.06]: normalized=1 regular=21
beta-box [22.06,22.07]: normalized=1 regular=21
beta-box [22.07,22.08]: normalized=1 regular=22
beta-box [22.08,22.09]: normalized=1 regular=22
beta-box [22.09,22.1]: normalized=1 regular=22
beta-box [22.1,22.11]: normalized=1 regular=22
beta-box [22.11,22.12]: normalized=1 regular=22
beta-box [22.12,22.13]: normalized=1 regular=22
beta-box [22.13,22.14]: normalized=1 regular=22
beta-box [22.14,22.15]: normalized=1 regular=22
beta-box [22.15,22.16]: normalized=1 regular=22
beta-box [22.16,22.17]: normalized=1 regular=22
beta-box [22.17,22.18]: normalized=1 regular=22
beta-box [22.18,22.19]: normalized=1 regular=22
beta-box [22.19,22.2]: normalized=1 regular=22
beta-box [22.2,22.21]: normalized=1 regular=22
beta-box [22.21,22.22]: normalized=1 regular=22
beta-box [22.22,22.23]: normalized=1 regular=22
beta-box [22.23,22.24]: normalized=1 regular=22
beta-box [22.24,22.25]: normalized=1 regular=22
beta-box [22.25,22.26]: normalized=1 regular=22
beta-box [22.26,22.27]: normalized=1 regular=22
beta-box [22.27,22.28]: normalized=1 regular=22
beta-box [22.28,22.29]: normalized=1 regular=22
beta-box [22.29,22.3]: normalized=1 regular=22
beta-box [22.3,22.31]: normalized=1 regular=22
beta-box [22.31,22.32]: normalized=1 regular=22
beta-box [22.32,22.33]: normalized=1 regular=22
beta-box [22.33,22.34]: normalized=1 regular=22
beta-box [22.34,22.35]: normalized=1 regular=22
beta-box [22.35,22.36]: normalized=1 regular=22
beta-box [22.36,22.37]: normalized=1 regular=22
beta-box [22.37,22.38]: normalized=1 regular=22
beta-box [22.38,22.39]: normalized=1 regular=22
beta-box [22.39,22.4]: normalized=1 regular=22
beta-box [22.4,22.41]: normalized=1 regular=22
beta-box [22.41,22.42]: normalized=1 regular=22
beta-box [22.42,22.43]: normalized=1 regular=22
beta-box [22.43,22.44]: normalized=1 regular=22
beta-box [22.44,22.45]: normalized=1 regular=22
beta-box [22.45,22.46]: normalized=1 regular=22
beta-box [22.46,22.47]: normalized=1 regular=22
beta-box [22.47,22.48]: normalized=1 regular=22
beta-box [22.48,22.49]: normalized=1 regular=22
beta-box [22.49,22.5]: normalized=1 regular=22
beta-box [22.5,22.51]: normalized=1 regular=22
beta-box [22.51,22.52]: normalized=1 regular=22
beta-box [22.52,22.53]: normalized=1 regular=22
beta-box [22.53,22.54]: normalized=1 regular=22
beta-box [22.54,22.55]: normalized=1 regular=22
beta-box [22.55,22.56]: normalized=1 regular=22
beta-box [22.56,22.57]: normalized=1 regular=22
beta-box [22.57,22.58]: normalized=1 regular=22
beta-box [22.58,22.59]: normalized=1 regular=22
narrowing beta step to 0.005 at beta=22.59 (right-edge failure near d=0.000998046875)
beta-box [22.59,22.595]: normalized=1 regular=22
beta-box [22.595,22.6]: normalized=1 regular=22
narrowing beta step to 0.005 at beta=22.6 (right-edge failure near d=0.0009951171875)
beta-box [22.6,22.605]: normalized=1 regular=22
narrowing beta step to 0.0025 at beta=22.605 (right-edge failure near d=0.0009990234375)
beta-box [22.605,22.6075]: normalized=1 regular=21
beta-box [22.6075,22.61]: normalized=1 regular=21
narrowing beta step to 0.005 at beta=22.61 (right-edge failure near d=0.0009912109375)
narrowing beta step to 0.0025 at beta=22.61 (right-edge failure near d=0.0009970703125)
beta-box [22.61,22.6125]: normalized=1 regular=21
narrowing beta step to 0.00125 at beta=22.6125 (right-edge failure near d=0.0009990234375)
beta-box [22.6125,22.61375]: normalized=1 regular=21
beta-box [22.61375,22.615]: normalized=1 regular=21
narrowing beta step to 0.0025 at beta=22.615 (right-edge failure near d=0.00099609375)
narrowing beta step to 0.00125 at beta=22.615 (right-edge failure near d=0.0009990234375)
beta-box [22.615,22.61625]: normalized=1 regular=21
beta-box [22.61625,22.6175]: normalized=1 regular=21
narrowing beta step to 0.00125 at beta=22.6175 (right-edge failure near d=0.000998046875)
narrowing beta step to 0.000625 at beta=22.6175 (right-edge failure near d=0.0009990234375)
beta-box [22.6175,22.618125]: normalized=1 regular=21
