SCALED BULK SIGN ROW UNIT82 TERMINAL ORDER30 SLICE
python 3.12.6
python_flint 0.9.0
arb_bits 220
git_head 5af9e9c8b4f6b62b967552ffa01920fddf9194fc
unit slice2
config CWIN 3/2 beta_order 30 t_order 35 min_dt 1/100000 prec 220
beta_domain 1101/16 1103/16
t_domain 3/5 34411767481/11030000000
dependency scripts/run_surface_g2_unit82_terminal_slice.py sha256 0bb37f799e1547ee1ef5964e67aea0bf2ad62546f031f7e5a02341c5c4a40cbe
dependency scripts/run_surface_scaled_bulk_cwin3p2_unit82_rescue_order30_slice.py sha256 823936a50539062514b4f5901add0f05d0bc3b3e35c4a1ec6c19fadab19c57b9
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
trow 55 2764873956189/1411840000000 279266772367/141184000000 upper [-1.7312618468092269345189008327485410657487744324557610129403048978914948231826041e-36 +/- 1.85e-116]
trow 56 279266772367/141184000000 2820461491151/1411840000000 upper [-1.6819855575560877927954797406787122623999139943152712854464774366332681187505741e-37 +/- 4.47e-118]
trow 57 2820461491151/1411840000000 5668716749783/2823680000000 upper [-4.7771844617614762628464438423663953952049457064480890303797799958456548840219594e-36 +/- 4.23e-116]
trow 58 5668716749783/2823680000000 356031907329/176480000000 upper [-2.5143881576892059070168519317121979425974895477061992546122628367692109487072614e-36 +/- 7.87e-117]
trow 59 356031907329/176480000000 1144860856949/564736000000 upper [-1.3193999542347028444279178537270702338313868445147654227084939823135717995803798e-36 +/- 2.53e-116]
trow 60 1144860856949/564736000000 2876049026113/1411840000000 upper [-6.9024969221227968014838474319221613183901457445510415609827198360829098788138413e-37 +/- 3.48e-117]
trow 61 2876049026113/1411840000000 5779891819707/2823680000000 upper [-3.6001730079876921106827696699615024137311815444188461873647061104258327151878163e-37 +/- 2.98e-117]
trow 62 5779891819707/2823680000000 1451921396797/705920000000 upper [-1.8721027968753472827322417212551083109356257621058773799098704083273041523286779e-37 +/- 8.84e-118]
trow 63 1451921396797/705920000000 5835479354669/2823680000000 upper [-9.7057022550498867370622064073660473736685124270028733507099980189178617144282371e-38 +/- 4.09e-118]
trow 64 5835479354669/2823680000000 117265462443/56473600000 upper [-5.0166864630131309456322280112631499573144423915920190094295899267921668048460474e-38 +/- 2.08e-118]
