SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head c2f03caa5af73629f584b41c756dd4a43b243b23
unit mid_cover_08_201_4_101_2
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 201/4 101/2
t_domain 3/5 3143008627/1010000000
cache_entries 257
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 56 277991681533/129280000000 3506608627/1616000000 upper [-5.0438729206628202147024970454075234923620540362482999091993621938084179559086163e-32 +/- 4.50e-113]
trow 57 3506608627/1616000000 283065698787/129280000000 upper [-1.6585443949364900092761122011440992530406914985642928186949891140696391895487351e-32 +/- 1.65e-112]
trow 58 283065698787/129280000000 142801353707/64640000000 upper [-5.3106796777987993502587913277922897839677855443455750804193783388112211832527655e-33 +/- 3.68e-113]
trow 59 142801353707/64640000000 288139716041/129280000000 upper [-1.6459094733130330062556985422239858475654124993997040970030435770472303507977629e-33 +/- 4.33e-113]
trow 60 288139716041/129280000000 72669181167/32320000000 upper [-4.8892952337752060854017852898648272715735889366661883440925108736340094929676849e-34 +/- 4.93e-114]
trow 61 72669181167/32320000000 58642746659/25856000000 upper [-1.3682534381197119922383862427051526685695073095034925398222255657638862844085269e-34 +/- 3.83e-114]
trow 62 58642746659/25856000000 147875370961/64640000000 upper [-3.4821642389503226543558579175508197223886488551030269232644890532930037656747803e-35 +/- 2.26e-115]
trow 63 147875370961/64640000000 298287750549/129280000000 upper [-7.3509880071874728406627015463437758988505684230417869922121670597041735524284339e-36 +/- 2.32e-116]
trow 64 298287750549/129280000000 37603094897/16160000000 upper [-8.2930107542127955652092486459967725134407328680909128430710757562599025429430399e-37 +/- 1.15e-118]
trow 65 37603094897/16160000000 604186526979/258560000000 upper [-2.6832017378401181015692721536405828195536274660241288270158370615739872487713156e-35 +/- 4.63e-115]
trow 66 604186526979/258560000000 303361767803/129280000000 upper [-1.5654026011703020372806848645414435703067456457264905077993807490831018032919394e-35 +/- 1.46e-115]
trow 67 303361767803/129280000000 609260544233/258560000000 upper [-9.1130057080152758562040854788681493899937028014716473745709946924649445139392125e-36 +/- 4.51e-116]
trow 68 609260544233/258560000000 30589877643/12928000000 upper [-5.2937168984292862910942930370888616083364445486545676060512345319562235234037833e-36 +/- 3.19e-116]
trow 69 30589877643/12928000000 614334561487/258560000000 upper [-3.0684888823271662100489908164565938628075195500420710242097163406354660500553855e-36 +/- 2.51e-116]
