SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head bc5b6375cf9744e2b0e2cbfd033b86bdc9facfaf
unit codex-mid24-48p5-48p75-20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 97/2 195/4
t_domain 3/5 404407051/130000000
cache_entries 261
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 57 18374689091/8320000000 37075785233/16640000000 upper [-2.1302069005645292700814093936930959937448834119369175043157273251903238386874529e-32 +/- 6.72e-114]
trow 58 37075785233/16640000000 9350548071/4160000000 upper [-7.0715422733173153345948734521534870664779689496918342148318512440353806135444817e-33 +/- 1.16e-113]
trow 59 9350548071/4160000000 7545719867/3328000000 upper [-2.2853554173290466886922305216320554525805726846810326117590996768252130126227645e-33 +/- 9.09e-114]
trow 60 7545719867/3328000000 19027503193/8320000000 upper [-7.1442728353326952103349342704458972878416268038286989316745535546616888071144582e-34 +/- 9.74e-115]
trow 61 19027503193/8320000000 38381413437/16640000000 upper [-2.1378705714982441792076979163727451300341863027134132149305686368224263962330259e-34 +/- 2.24e-114]
trow 62 38381413437/16640000000 4838477561/2080000000 upper [-6.0100658202100434658232581345601098547257449111094542331016100463891249196993744e-35 +/- 4.99e-115]
trow 63 4838477561/2080000000 39034227539/16640000000 upper [-1.5262401591898845430218838752226058471404497705981806024344355491391064786640426e-35 +/- 2.04e-115]
trow 64 39034227539/16640000000 3936063459/1664000000 upper [-3.1455658293775920211506656948656973162575600844512246157828966639771870918903809e-36 +/- 2.27e-117]
trow 65 3936063459/1664000000 3052849357/1280000000 upper [-2.8732815695708729828858442269963744730251481976620918602758805971016887305977093e-37 +/- 3.20e-117]
trow 66 3052849357/1280000000 79700490333/33280000000 upper [-1.2943516150882465024149930321016240288411390396655678986238126208566609463693877e-35 +/- 1.93e-115]
trow 67 79700490333/33280000000 10003362173/4160000000 upper [-7.6068031859859284051226827134372612306065880539805763130435246526108670703674076e-36 +/- 1.63e-116]
trow 68 10003362173/4160000000 16070660887/6656000000 upper [-4.4612324706340645713859087165697469051346642781464517167580540136034704851989318e-36 +/- 2.98e-116]
trow 69 16070660887/6656000000 40339855743/16640000000 upper [-2.6110234941561361221608815446844965241566925375069438733580714936652368091341448e-36 +/- 1.65e-116]
trow 70 40339855743/16640000000 81006118537/33280000000 upper [-1.5250052086987267616465349173779747446463073282313591687423564062582600360477808e-36 +/- 1.08e-116]
trow 71 81006118537/33280000000 20333131397/8320000000 upper [-8.8886720840221749319721518748514408921643962002980702485638817009243959645604720e-37 +/- 4.98e-117]
trow 72 20333131397/8320000000 81658932639/33280000000 upper [-5.1702096436669381488300651593963304852459003344814229596429631129004145658170485e-37 +/- 4.02e-117]
trow 73 81658932639/33280000000 8198533969/3328000000 upper [-3.0011348197119408301875292134978406508381825820327433369124603264533141392748295e-37 +/- 1.57e-117]
trow 74 8198533969/3328000000 82311746741/33280000000 upper [-1.7384822212584005595635856796413156443405870571075938710297507091859520006114753e-37 +/- 2.33e-117]
